custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit,id
34,admin.,single,university.degree,no,no,yes,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,999,0,no,NA,1
31,services,single,high.school,no,no,no,cellular,jul,thu,35,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,2
NA,admin.,single,high.school,no,no,no,telephone,jun,NA,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,3
52,admin.,divorced,university.degree,unknown,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,4
39,blue-collar,single,NA,unknown,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,5
40,entrepreneur,married,NA,no,yes,no,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,no,NA,6
50,technician,single,NA,no,no,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,7
41,technician,married,professional.course,no,no,no,cellular,oct,thu,2,999,0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,999,0,no,NA,8
23,blue-collar,single,basic.4y,no,yes,no,telephone,jun,fri,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,no,NA,9
29,technician,married,professional.course,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,10
57,retired,married,NA,unknown,no,no,telephone,jun,NA,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,11
33,blue-collar,married,unknown,no,no,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,no,NA,12
NA,technician,married,university.degree,no,yes,no,telephone,oct,wed,1,999,1,failure,-1.1,94.601,-49.5,0.985,4963.6,999,2,no,NA,13
59,housemaid,married,NA,unknown,no,no,telephone,jun,thu,12,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0,no,NA,14
38,technician,married,university.degree,no,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999,1,no,NA,15
44,blue-collar,married,NA,no,yes,yes,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,999,0,no,NA,16
NA,technician,single,NA,unknown,yes,yes,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,999,0,no,NA,17
51,blue-collar,married,NA,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,18
NA,services,married,NA,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,19
37,admin.,single,university.degree,no,no,yes,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,20
33,admin.,married,high.school,no,yes,yes,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,21
39,blue-collar,married,basic.9y,no,yes,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,999,5,no,NA,22
55,services,married,high.school,no,yes,no,cellular,aug,NA,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,23
27,services,single,professional.course,no,yes,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999,0,no,NA,24
24,student,single,high.school,no,yes,no,cellular,may,tue,2,999,2,failure,-1.8,93.876,-40,0.682,5008.7,999,0,no,NA,25
40,services,divorced,NA,no,yes,no,telephone,apr,fri,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,26
NA,unknown,married,NA,no,no,no,telephone,jun,wed,9,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999,0,no,NA,27
25,technician,married,NA,no,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,28
35,technician,married,unknown,unknown,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,29
